"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gpr22.8",4.52366401086219e-64,0.414407872291944,0.609,0.281,1.40473338529304e-59,"13","Gpr22"
"Gm30382.6",5.76785249290161e-64,0.509362354493918,0.428,0.169,1.79109123462074e-59,"13","Gm30382"
"Grin2a.10",9.33391508281864e-64,0.413546960343662,0.964,0.665,2.89846065066767e-59,"13","Grin2a"
"Scn8a.7",6.73562534138367e-63,0.405699426329297,0.943,0.644,2.09161373725987e-58,"13","Scn8a"
"Dtnbp1",8.13108461095327e-63,0.319108083380989,0.418,0.154,2.52494570423932e-58,"13","Dtnbp1"
"Atp9b.1",1.05520136910922e-62,0.429218091257535,0.835,0.505,3.27671681149486e-58,"13","Atp9b"
"Cxxc4.4",4.94560280037795e-62,0.354012789185548,0.472,0.188,1.53575803760136e-57,"13","Cxxc4"
"Gm20878.2",1.22911294287401e-61,0.298099948491515,0.399,0.143,3.81676442150665e-57,"13","Gm20878"
"Agbl4.7",2.8666407228822e-61,0.405107391915745,0.714,0.364,8.90177943676609e-57,"13","Agbl4"
"Ccdc85a.9",7.54240676806344e-61,0.347542432334214,0.578,0.257,2.34214357368674e-56,"13","Ccdc85a"
"Adcy1.11",2.48774161121134e-60,0.400690333587322,0.681,0.339,7.72518402529456e-56,"13","Adcy1"
"Snap25.7",4.179256977134e-60,0.371333565857015,0.992,0.81,1.29778466910942e-55,"13","Snap25"
"Igsf9b.9",4.18670588164805e-60,0.406528244896669,0.845,0.48,1.30009777742817e-55,"13","Igsf9b"
"Kcnk12",2.03571712702688e-59,0.263329863589216,0.279,0.085,6.32151239455659e-55,"13","Kcnk12"
"Nov.1",2.32331073524622e-59,0.259922028354038,0.325,0.107,7.2145768261601e-55,"13","Nov"
"Mfsd6.6",5.29986936901513e-59,0.376343600412087,0.776,0.424,1.64576843516027e-54,"13","Mfsd6"
"Kcnb1.7",6.7402394677153e-59,0.393896405763083,0.77,0.427,2.09304656190963e-54,"13","Kcnb1"
"Hspa12a",9.42347749185586e-59,0.310657911311158,0.382,0.142,2.926272465546e-54,"13","Hspa12a"
"B830012L14Rik.4",1.34412396235374e-58,0.380733452563383,0.516,0.227,4.17390814029708e-54,"13","B830012L14Rik"
"L3mbtl1",2.76712374383662e-58,0.280167286860239,0.297,0.096,8.59274936173587e-54,"13","L3mbtl1"
"Atp8a1.6",4.27594583173185e-58,-0.691680813320665,0.645,0.748,1.32780945912769e-53,"13","Atp8a1"
"Nrg3.8",5.88240558182064e-58,0.371631776721363,0.686,0.346,1.82666340532276e-53,"13","Nrg3"
"Xylt1.10",4.16871273111643e-57,0.306121557590206,0.57,0.266,1.29451036439358e-52,"13","Xylt1"
"Arap2.10",4.22713602641973e-57,0.330549824269067,0.699,0.35,1.31265255028412e-52,"13","Arap2"
"Lrfn5.9",7.30926118389979e-57,0.374250770574984,0.928,0.605,2.2697448754364e-52,"13","Lrfn5"
"Rasal1.6",1.38629464119857e-56,0.310019218208025,0.408,0.158,4.30486074931393e-52,"13","Rasal1"
"Crim1",2.04467822489738e-56,0.259219031475842,0.296,0.095,6.34933929177384e-52,"13","Crim1"
"Slc6a1.8",4.14791836398783e-56,-1.20918964588027,0.052,0.352,1.28805308956914e-51,"13","Slc6a1"
"Cit.6",1.05843216647985e-55,0.373330233684859,0.889,0.576,3.28674940656989e-51,"13","Cit"
"Rnps1.3",1.28949679409147e-55,0.341611220536129,0.572,0.267,4.00427439469225e-51,"13","Rnps1"
"1110008P14Rik.11",1.45476707160778e-55,0.343758709236192,0.562,0.256,4.51748818746364e-51,"13","1110008P14Rik"
"Slc17a7.13",2.99853550791764e-55,0.336313836638926,0.855,0.457,9.31135231273664e-51,"13","Slc17a7"
"Adrb1.5",3.63233190216821e-55,0.327453119611736,0.531,0.233,1.12794802558029e-50,"13","Adrb1"
"Cdc14b.1",5.7325290990374e-55,0.281705563425109,0.325,0.113,1.78012226112408e-50,"13","Cdc14b"
"Sel1l3.10",1.03855632207396e-54,0.352147806988428,0.531,0.236,3.22502894693626e-50,"13","Sel1l3"
"B3gat1.9",1.22218095761461e-54,0.342323556727027,0.698,0.353,3.79523852768065e-50,"13","B3gat1"
"Hectd2.3",5.84657360338617e-54,0.344864994512347,0.508,0.225,1.81553650105951e-49,"13","Hectd2"
"Gda.9",2.05579103614072e-53,0.375058788817492,0.77,0.43,6.38384790452779e-49,"13","Gda"
